"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"86"	"Leaf-TG2A-71-Ash"	"TG2A71"	"TG2"	"North"	"Ash"	"non-forested"	-30.35	3.06936555018656	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	37.29	2.02	-0.39	-30.35
"87"	"Leaf-TI3F-334-Ash"	"TI3F334"	"TI3"	"South"	"Ash"	"forested"	-30.67	2.98518715367584	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	45.31	2.67	-1.91	-30.67
"88"	"Leaf-TG3A-118-Alder"	"TG3A118"	"TG3"	"North"	"Alder"	"non-forested"	-29.88	2.84088138369184	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	42.6	2.9	-0.54	-29.88
"89"	"Leaf-TG4F-190-Alder"	"TG4F190"	"TG4"	"North"	"Alder"	"forested"	-29.63	3.01233437679074	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.08	2.7	-0.96	-29.63
"90"	"Leaf-TI1F-237-Ash"	"TI1F237"	"TI1"	"South"	"Ash"	"forested"	-31.02	2.96905516243957	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	43.75	2.62	-1.67	-31.02
"91"	"Leaf-TG4F-183"	"TG4F183"	"TG4"	"North"	"Alder"	"forested"	-29.02	3.05904839169501	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.86	2.51	-1.18	-29.02
"92"	"Leaf-TI1F-239-Alder"	"TI1F239"	"TI1"	"South"	"Alder"	"forested"	-29.14	2.92611961458848	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.31	3.02	-1.84	-29.14
"93"	"Leaf-TG1F-41"	"TG1F41"	"TG1"	"North"	"Ash"	"forested"	-30.36	2.92442363950264	"N"	NA	NA	"sample"	"Ash"	"Leaf"	42	2.63	0.75	-30.36
"94"	"Leaf-TG1A-22-Alder"	"TG1A22"	"TG1"	"North"	"Alder"	"non-forested"	-28.91	2.90815024340703	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	45.25	2.88	-0.01	-28.91
"95"	"Leaf-TG4A-157"	"TG4A157"	"TG4"	"North"	"Alder"	"non-forested"	-28.79	2.96461750264204	"N"	NA	NA	"sample"	"Alder"	"Leaf"	44.72	2.69	-0.72	-28.79
