"Sample_Name"	"Sample_ID"	"Stream"	"Region"	"LeafLeafLeaf"	"Vegetation"	"Delta13_C_VPDB_corr"	"log_molar_CN"	"Shredder"	"Species"	"Order"	"T"	"Species_All_1"	"Type"	"EA_C_Percent_corr"	"EA_N_Percent_corr"	"Delta15_N_Air_corr"	"Delta13_C_VPDB_corr_corr"
"369"	"MZB-TG2A-72-Capnia"	"TG2A72"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.74	1.42030521417419	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	56.53	15.93	1.62	-30.83
"370"	"MZB-TG1A-20-Gammarus"	"TG1A20"	"TG1"	"North"	"no-leaf"	"non-forested"	-28.31	1.51076184622873	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	45.45	11.7	4.14	-29.4
"371"	"MZB-TI3A-306-Leuctra"	"TI3A306"	"TI3"	"South"	"no-leaf"	"non-forested"	-24.41	1.43214326651765	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	51.35	14.3	-5.54	-25.5
"372"	"MZB-TI2A-258-Leuctra"	"TI2A258"	"TI2"	"South"	"no-leaf"	"non-forested"	-27.4	1.39628294652112	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	27.75	8.01	-1.72	-28.49
"375"	"Leaf-TI2A-253"	"TI2A253"	"TI2"	"South"	"Alder"	"non-forested"	-29.77	2.87520251431565	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.28	3.11	-1.34	-29.77
"376"	"Leaf-TI4F-383-Alder"	"TI4F383"	"TI4"	"South"	"Alder"	"forested"	-29.76	2.89775321720467	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	44.16	2.84	-1.44	-29.76
"377"	"Leaf-TI3F-328"	"TI3F328"	"TI3"	"South"	"Alder"	"forested"	-29.02	2.96451536249639	"N"	NA	NA	"sample"	"Alder"	"Leaf"	48.04	2.89	-1.73	-29.02
"378"	"Leaf-TI3A-311-Alder"	"TI3A311"	"TI3"	"South"	"Alder"	"non-forested"	-28.77	2.94531188955981	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.92	3	-1.81	-28.77
"379"	"Leaf-TI3A-310-Ash"	"TI3A310"	"TI3"	"South"	"Ash"	"non-forested"	-30.61	3.02990995893515	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	46.85	2.64	-1.63	-30.61
"380"	"Leaf-TI4F-380"	"TI4F380"	"TI4"	"South"	"Ash"	"forested"	-30.63	2.97421787735314	"N"	NA	NA	"sample"	"Ash"	"Leaf"	44.48	2.65	-1.17	-30.63
"381"	"Leaf-TI2A-262-Alder"	"TI2A262"	"TI2"	"South"	"Alder"	"non-forested"	-29.64	2.82087953511326	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	46.22	3.21	-1.09	-29.64
"382"	"Leaf-TI3A-309-Alder"	"TI3A309"	"TI3"	"South"	"Alder"	"non-forested"	-28.69	3.03661895357595	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.88	2.68	-1.52	-28.69
"383"	"Leaf-TI4A-360-Alder"	"TI4A360"	"TI4"	"South"	"Alder"	"non-forested"	-29.26	2.90603277030891	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.29	3.08	-1.36	-29.26
"384"	"Leaf-TI4A-357-Ash"	"TI4A357"	"TI4"	"South"	"Ash"	"non-forested"	-30.57	2.88873649076554	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	44.38	2.88	-1.38	-30.57
"385"	"Leaf-TI4F-374"	"TI4F374"	"TI4"	"South"	"Alder"	"forested"	-28.91	2.92176321313388	"N"	NA	NA	"sample"	"Alder"	"Leaf"	48.1	3.02	-1.36	-28.91
"386"	"Leaf-TI2F-284"	"TI2F284"	"TI2"	"South"	"Ash"	"forested"	-30.02	2.87311606881637	"N"	NA	NA	"sample"	"Ash"	"Leaf"	47.94	3.16	-1.64	-30.02
"387"	"Leaf-TI4F-373"	"TI4F373"	"TI4"	"South"	"Alder"	"forested"	-29.71	2.88046773106271	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.39	2.97	-1.39	-29.71
"388"	"Leaf-TI3A-305"	"TI3A305"	"TI3"	"South"	"Ash"	"non-forested"	-30.42	2.99946215981069	"N"	NA	NA	"sample"	"Ash"	"Leaf"	46.65	2.71	-2	-30.42
"389"	"Leaf-TI4F-383-Ash"	"TI4F383"	"TI4"	"South"	"Ash"	"forested"	-30.37	2.93954209179718	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	40.37	2.49	-1.11	-30.37
"390"	"Leaf-TI3A-309-Ash"	"TI3A309"	"TI3"	"South"	"Ash"	"non-forested"	-29.7	3.08681917600127	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	46.4	2.47	-1.54	-29.7
"391"	"Leaf-TI4A-358-Alder"	"TI4A358"	"TI4"	"South"	"Alder"	"non-forested"	-29.67	2.91130418552554	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.23	3.06	-1.12	-29.67
"392"	"Leaf-TI4F-384-Ash"	"TI4F384"	"TI4"	"South"	"Ash"	"forested"	-29.79	3.02453952911102	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	45.54	2.58	-1.25	-29.79
"393"	"Leaf-TI4F-382-Ash"	"TI4F382"	"TI4"	"South"	"Ash"	"forested"	-30.53	2.99888946995305	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	41.29	2.4	-1.34	-30.53
"394"	"Leaf-TI4F-375"	"TI4F375"	"TI4"	"South"	"Alder"	"forested"	-28.69	2.88761976312468	"N"	NA	NA	"sample"	"Alder"	"Leaf"	49.41	3.21	-1.25	-28.69
"395"	"Leaf-TI4A-359-Ash"	"TI4A359"	"TI4"	"South"	"Ash"	"non-forested"	-30.82	2.91798625773251	"N"	"Ash"	NA	"sample"	"Ash"	"Leaf"	47.76	3.01	-1.06	-30.82
"396"	"Leaf-TI2F-280"	"TI2F280"	"TI2"	"South"	"Alder"	"forested"	-30.04	2.96331452876153	"N"	NA	NA	"sample"	"Alder"	"Leaf"	45.99	2.77	-1.54	-30.04
"397"	"Leaf-TI2A-255"	"TI2A255"	"TI2"	"South"	"Alder"	"non-forested"	-29.16	2.888648095025	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.92	3.11	-1.27	-29.16
"398"	"Leaf-TI3F-326"	"TI3F326"	"TI3"	"South"	"Alder"	"forested"	-29.15	2.87528074855563	"N"	NA	NA	"sample"	"Alder"	"Leaf"	48.5	3.19	-1.52	-29.15
"399"	"Leaf-TI1A-214-Alder"	"TI1A214"	"TI1"	"South"	"Alder"	"non-forested"	-28.86	2.86643334713463	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	47.47	3.15	-1.16	-28.86
"400"	"Leaf-TI3A-312-Alder"	"TI3A312"	"TI3"	"South"	"Alder"	"non-forested"	-28.98	3.02056957729824	"N"	"Alder"	NA	"sample"	"Alder"	"Leaf"	48.7	2.77	-1.62	-28.98
"401"	"Leaf-TI3F-327"	"TI3F327"	"TI3"	"South"	"Alder"	"forested"	-28.77	2.87482441797582	"N"	NA	NA	"sample"	"Alder"	"Leaf"	47.87	3.15	-1.57	-28.77
"402"	"MZB-TG2A-Capnia-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-29.51	1.65711871208979	"Y"	"Capnia"	"Plecoptera"	"fresh"	"Capnia"	"MZB"	50.23	11.17	2.02	-30.6
"403"	"MZB-TG2F-Limnephilidae-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-28.63	1.80187306979673	"Y"	"Limnephilidae"	"Trichoptera"	"fresh"	"Limnephilidae"	"MZB"	45.84	8.82	0.0600000000000001	-29.72
"404"	"MZB-TG2F-Gammarus-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-28.86	1.84013682097918	"Y"	"Gammarus"	"Crustacea"	"fresh"	"Gammarus"	"MZB"	39.42	7.3	2.27	-29.95
"405"	"MZB-TG2A-Habroleptoides-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-30.25	1.94431739549715	"N"	"Habroleptoides"	"Ephemeroptera"	"fresh"	"Habroleptoides"	"MZB"	50.82	8.48	2.58	-30.25
"406"	"MZB-TG2F-Baetis-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-32.15	NA	"N"	"Baetis"	"Ephemeroptera"	"fresh"	"Baetis"	"MZB"	50.95	NA	NA	-32.15
"407"	"MZB-TG2F-Habroleptoides-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-28.73	NA	"N"	"Habroleptoides"	"Ephemeroptera"	"fresh"	"Habroleptoides"	"MZB"	50.71	NA	NA	-28.73
"408"	"MZB-TG2F-Gammarus-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-28.64	1.84198183995275	"Y"	"Gammarus"	"Crustacea"	"fresh"	"Gammarus"	"MZB"	39.06	7.22	2.55	-29.73
"409"	"MZB-TG2F-Habroleptoides-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-28.79	1.86213938261995	"N"	"Habroleptoides"	"Ephemeroptera"	"fresh"	"Habroleptoides"	"MZB"	50.73	9.19	3.18	-28.79
"410"	"MZB-TG2F-Capnia-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-29.44	1.72536032884623	"Y"	"Capnia"	"Plecoptera"	"fresh"	"Capnia"	"MZB"	49.3	10.24	2.37	-30.53
"411"	"MZB-TG2F-Capnia-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-29.26	NA	"Y"	"Capnia"	"Plecoptera"	"fresh"	"Capnia"	"MZB"	48.57	NA	NA	-30.35
"412"	"MZB-TG2F-Nemoura-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-29.29	1.75766503966213	"Y"	"Nemoura"	"Plecoptera"	"fresh"	"Nemoura"	"MZB"	50.67	10.19	1.54	-30.38
"413"	"MZB-TG2A-Gammarus-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-29.4	1.89092948957404	"Y"	"Gammarus"	"Crustacea"	"fresh"	"Gammarus"	"MZB"	39.94	7.03	3.31	-30.49
"414"	"MZB-TG2A-Simulium-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-33.22	1.78117498014008	"N"	"Simulium"	"Diptera"	"fresh"	"Simulium"	"MZB"	47.09	9.25	5.83	-33.22
"415"	"MZB-TG2A-Habroleptoides-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-29.53	NA	"N"	"Habroleptoides"	"Ephemeroptera"	"fresh"	"Habroleptoides"	"MZB"	49.1	NA	NA	-29.53
"416"	"MZB-TG2A-Nemoura-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-29.35	1.86806795842343	"Y"	"Nemoura"	"Plecoptera"	"fresh"	"Nemoura"	"MZB"	49.81	8.97	1.5	-30.44
"417"	"MZB-TG2A-Simulium-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-33.24	1.6883519880453	"N"	"Simulium"	"Diptera"	"fresh"	"Simulium"	"MZB"	47.88	10.32	5.45	-33.24
"418"	"MZB-TG2A-Baetis-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-37.42	NA	"N"	"Baetis"	"Ephemeroptera"	"fresh"	"Baetis"	"MZB"	48.88	NA	NA	-37.42
"419"	"MZB-TG2A-Gammarus-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-30.06	1.83904270294315	"Y"	"Gammarus"	"Crustacea"	"fresh"	"Gammarus"	"MZB"	42.02	7.79	3.32	-31.15
"420"	"MZB-TG2F-Simulium-fresh"	NA	"TG2"	"North"	"no-leaf"	"forested"	-32.69	NA	"N"	"Simulium"	"Diptera"	"fresh"	"Simulium"	"MZB"	50.01	NA	NA	-32.69
"421"	"MZB-TG2A-Limnephilidae-fresh"	NA	"TG2"	"North"	"no-leaf"	"non-forested"	-29.23	1.83705863662419	"Y"	"Limnephilidae"	"Trichoptera"	"fresh"	"Limnephilidae"	"MZB"	51.25	9.52	1.16	-30.32
"422"	"MZB-TI2A-264-Protonemura"	"TI2A264"	"TI2"	"South"	"no-leaf"	"non-forested"	-28.96	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	47.12	NA	NA	-30.05
"423"	"MZB-TI2A-260-Protonemura"	"TI2A260"	"TI2"	"South"	"no-leaf"	"non-forested"	-27.97	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	46.75	NA	NA	-29.06
"424"	"MZB-TI2A-262-Protonemura"	"TI2A262"	"TI2"	"South"	"no-leaf"	"non-forested"	-28.44	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	47.05	NA	NA	-29.53
"425"	"MZB-TI2F-285-Protonemura"	"TI2F285"	"TI2"	"South"	"no-leaf"	"forested"	-26.88	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	47.93	NA	NA	-27.97
"426"	"MZB-TI2F-283-Nemoura"	"TI2F283"	"TI2"	"South"	"no-leaf"	"forested"	-26.69	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45.07	NA	NA	-27.78
"427"	"MZB-TI2F-277-Nemoura"	"TI2F277"	"TI2"	"South"	"no-leaf"	"forested"	-26.67	1.50781670884733	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	45.51	11.75	-3.51	-27.76
"428"	"MZB-TI2F-279-Nemoura"	"TI2F279"	"TI2"	"South"	"no-leaf"	"forested"	-26.74	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	46.09	NA	NA	-27.83
"429"	"MZB-TI2F-287-Nemoura"	"TI2F287"	"TI2"	"South"	"no-leaf"	"forested"	-27.02	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	43.76	NA	NA	-28.11
"430"	"Leaf-TI4A-352"	"TI4A352"	"TI4"	"South"	"Alder"	"non-forested"	-29.2	2.93360523075987	"N"	NA	NA	"sample"	"Alder"	"Leaf"	49.64	3.08	-1.1	-29.2
"431"	"MZB-TG4A-164-Gammarus"	"TG4A164"	"TG4"	"North"	"no-leaf"	"non-forested"	-27.31	1.53123763052528	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.83	8.28	3.72	-28.4
"432"	"MZB-TG1A-16-Gammarus"	"TG1A16"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.25	1.54898705137567	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.53	8.06	4.25	-28.34
"433"	"MZB-TG3F-139-Protonemura"	"TG3F139"	"TG3"	"North"	"no-leaf"	"forested"	-31.1	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	42.93	NA	NA	-32.19
"434"	"MZB-TG3F-144-Protonemura"	"TG3F144"	"TG3"	"North"	"no-leaf"	"forested"	-31.2	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	44.12	NA	NA	-32.29
"435"	"MZB-TI2A-253-Protonemura"	"TI2A253"	"TI2"	"South"	"no-leaf"	"non-forested"	-27.38	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	46.49	NA	NA	-28.47
"436"	"MZB-TI2A-263-Protonemura"	"TI2A263"	"TI2"	"South"	"no-leaf"	"non-forested"	-27.88	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	45.81	NA	NA	-28.97
"437"	"MZB-TI2A-255-Protonemura"	"TI2A255"	"TI2"	"South"	"no-leaf"	"non-forested"	-28.85	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	46.61	NA	NA	-29.94
"438"	"MZB-TI2A-256-Protonemura"	"TI2A256"	"TI2"	"South"	"no-leaf"	"non-forested"	-28.59	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	45.49	NA	NA	-29.68
"439"	"MZB-TG4F-191-Nemoura"	"TG4F191"	"TG4"	"North"	"no-leaf"	"forested"	-26.7	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	44.19	NA	NA	-27.79
"440"	"MZB-TI2A-257-Protonemura"	"TI2A257"	"TI2"	"South"	"no-leaf"	"non-forested"	-29.15	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	47.29	NA	NA	-30.24
"441"	"MZB-TI2A-259-Protonemura"	"TI2A259"	"TI2"	"South"	"no-leaf"	"non-forested"	-28.29	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	46.81	NA	NA	-29.38
"442"	"MZB-TI2F-284-Protonemura"	"TI2F284"	"TI2"	"South"	"no-leaf"	"forested"	-26.72	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	47.03	NA	NA	-27.81
"443"	"MZB-TI2A-261-Protonemura"	"TI2A261"	"TI2"	"South"	"no-leaf"	"non-forested"	-28.71	1.50834062250396	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	43.79	11.3	-2.46	-29.8
"444"	"MZB-TG1F-40-Gammarus"	"TG1F40"	"TG1"	"North"	"no-leaf"	"forested"	-26.39	1.51289158248936	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.53	8.87	4.19	-27.48
"445"	"MZB-TG3F-141-Protonemura"	"TG3F141"	"TG3"	"North"	"no-leaf"	"forested"	-31.98	NA	"Y"	"Protonemura"	"Plecoptera"	"sample"	"Protonemura"	"MZB"	43	NA	NA	-33.07
"446"	"MZB-TI2A-253-Nemoura"	"TI2A253"	"TI2"	"South"	"no-leaf"	"non-forested"	-26.46	1.56934438803114	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	30.81	7.48	4.3	-27.55
"447"	"MZB-TI2F-287-Nemoura"	"TI2F287"	"TI2"	"South"	"no-leaf"	"forested"	-25.56	1.47799683760939	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	30	7.98	-2.42	-26.65
"448"	"MZB-TG2A-69-Nemoura"	"TG2A69"	"TG2"	"North"	"no-leaf"	"non-forested"	-26.99	NA	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	53.73	NA	NA	-28.08
"449"	"MZB-TG2A-62-Nemoura"	"TG2A62"	"TG2"	"North"	"no-leaf"	"non-forested"	-29.06	1.47684232526256	"Y"	"Nemoura"	"Plecoptera"	"sample"	"Nemoura"	"MZB"	37.1	9.88	2.05	-30.15
"450"	"MZB-TG1F-41-Gammarus"	"TG1F41"	"TG1"	"North"	"no-leaf"	"forested"	-29.68	NA	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	54.34	NA	NA	-30.77
"451"	"MZB-TG1A-14-Gammarus"	"TG1A14"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.2	1.58246960601155	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.01	7.67	3.9	-28.29
"452"	"MZB-TG1F-37-Gammarus"	"TG1F37"	"TG1"	"North"	"no-leaf"	"forested"	-27.39	1.48896798986009	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	34.93	9.19	3.39	-28.48
"453"	"MZB-TG1F-42-Gammarus"	"TG1F42"	"TG1"	"North"	"no-leaf"	"forested"	-26.74	1.60150676347351	"Y"	"Gammarus"	"Crustacea"	"sample"	"Gammarus"	"MZB"	32.37	7.61	3.77	-27.83
"454"	"MZB-TG2F-87-Capnia"	"TG2F87"	"TG2"	"North"	"no-leaf"	"forested"	-27.5	1.41211657468995	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	43.75	12.43	3.62	-28.59
"455"	"MZB-TG2A-66-Capnia"	"TG2A66"	"TG2"	"North"	"no-leaf"	"non-forested"	-30.29	1.41909053985145	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	46.36	13.08	2.79	-31.38
"456"	"MZB-TI2F-283-Leuctra"	"TI2F283"	"TI2"	"South"	"no-leaf"	"forested"	-25.91	1.5239972154028	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	45.78	11.63	-2.95	-27
"457"	"MZB-TI2F-280-Auricollis"	"TI2F280"	"TI2"	"South"	"no-leaf"	"forested"	-26.65	1.7910724964242	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	46.89	9.12	-3.67	-27.74
"458"	"MZB-TI3F-333-Auricollis"	"TI3F333"	"TI3"	"South"	"no-leaf"	"forested"	-26.71	1.70004274031421	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	44.5	9.48	-5.28	-27.8
"459"	"MZB-TI3A-307-Leuctra"	"TI3A307"	"TI3"	"South"	"no-leaf"	"non-forested"	-24.73	1.44034774127817	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	44.17	12.2	-5.25	-25.82
"460"	"MZB-TI4F-382-Limnephilini"	"TI4F382"	"TI4"	"South"	"no-leaf"	"forested"	-26.55	1.71525983827686	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	45.23	9.49	-3.41	-27.64
"461"	"MZB-TG2F-85-Capnia"	"TG2F85"	"TG2"	"North"	"no-leaf"	"forested"	-28.71	1.41317494299201	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	45.1	12.8	3.94	-29.8
"462"	"MZB-TG4F-189-Leuctra"	"TG4F189"	"TG4"	"North"	"no-leaf"	"forested"	-27	1.47157113051892	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	43.89	11.75	-0.1	-28.09
"463"	"MZB-TI3A-304-Auricollis"	"TI3A304"	"TI3"	"South"	"no-leaf"	"non-forested"	-25.55	1.64744104025219	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	45.07	10.12	-5.5	-26.64
"464"	"MZB-TI4A-351-Limnephilini"	"TI4A351"	"TI4"	"South"	"no-leaf"	"non-forested"	-26.36	1.68289494858225	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	45.22	9.8	-2.72	-27.45
"465"	"MZB-TI2A-253-Auricollis"	"TI2A253"	"TI2"	"South"	"no-leaf"	"non-forested"	-26.33	1.53753908338304	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	40.06	10.04	-2.09	-27.42
"466"	"MZB-TG4F-190-Auricollis"	"TG4F190"	"TG4"	"North"	"no-leaf"	"forested"	-28.24	1.83914386187972	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	44.29	8.21	-1.41	-29.33
"467"	"MZB-TG1F-39-Capnia"	"TG1F39"	"TG1"	"North"	"no-leaf"	"forested"	-28.08	1.45633951846213	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	46.28	12.58	5.28	-29.17
"468"	"MZB-TG2F-86-Capnia"	"TG2F86"	"TG2"	"North"	"no-leaf"	"forested"	-27.21	1.39252740959545	"Y"	"Capnia"	"Plecoptera"	"sample"	"Capnia"	"MZB"	43.35	12.56	3.39	-28.3
"469"	"MZB-TI3A-310-Leuctra"	"TI3A310"	"TI3"	"South"	"no-leaf"	"non-forested"	-25	1.50937935752927	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	43.37	11.18	-4.97	-26.09
"470"	"MZB-TI4A-359-Limnephilini"	"TI4A359"	"TI4"	"South"	"no-leaf"	"non-forested"	-26.44	1.60171808359779	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	47.14	11.08	-3.26	-27.53
"471"	"MZB-TG2F-88-Limnephilini"	"TG2F88"	"TG2"	"North"	"no-leaf"	"forested"	-27.34	1.9374142778818	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	45.59	7.66	1.03	-28.43
"472"	"MZB-TI3F-336-Auricollis"	"TI3F336"	"TI3"	"South"	"no-leaf"	"forested"	-26.84	1.59607178958462	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	46.24	10.93	-4.46	-27.93
"473"	"MZB-TI2A-261-Leuctra"	"TI2A261"	"TI2"	"South"	"no-leaf"	"non-forested"	-26.99	1.43694205963734	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	45.86	12.71	-1.45	-28.08
"474"	"MZB-TI2A-257-Leuctra"	"TI2A257"	"TI2"	"South"	"no-leaf"	"non-forested"	-27.34	1.44638067244738	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	45.53	12.5	-1.44	-28.43
"475"	"MZB-TI3A-304-Leuctra"	"TI3A304"	"TI3"	"South"	"no-leaf"	"non-forested"	-24.81	1.43693943878115	"Y"	"Leuctra"	"Plecoptera"	"sample"	"Leuctra"	"MZB"	45.03	12.48	-5.34	-25.9
"476"	"MZB-TG1A-20-Limnephilini"	"TG1A20"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.83	1.85941792616404	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	42.94	7.8	1.09	-28.92
"477"	"MZB-TI4F-383-Auricollis"	"TI4F383"	"TI4"	"South"	"no-leaf"	"forested"	-26.45	1.69781597320598	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	44.12	9.42	-3.54	-27.54
"478"	"MZB-TI4F-373-Limnephilini"	"TI4F373"	"TI4"	"South"	"no-leaf"	"forested"	-27.02	1.71144010544386	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	45.2	9.52	-3.24	-28.11
"479"	"MZB-TI2F-281-Auricollis"	"TI2F281"	"TI2"	"South"	"no-leaf"	"forested"	-26.87	1.85497923483816	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	46.97	8.57	-3.74	-27.96
"480"	"MZB-TI4F-384-Limnephilini"	"TI4F384"	"TI4"	"South"	"no-leaf"	"forested"	-26.73	1.83746141922652	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	43.3	8.04	-2.62	-27.82
"481"	"MZB-TI2F-288-Auricollis"	"TI2F288"	"TI2"	"South"	"no-leaf"	"forested"	-27.31	1.67550701266868	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	45.62	9.96	-3.02	-28.4
"482"	"MZB-TG3F-143-Auricollis"	NA	"TG3"	"North"	NA	"forested"	-26.89	1.7819504892384	NA	NA	NA	"sample"	NA	"MZB"	45.7	8.97	-2.12	NA
"483"	"MZB-TG1A-22-Limnephilini"	"TG1A22"	"TG1"	"North"	"no-leaf"	"non-forested"	-27.87	1.74964501498846	"Y"	"Limnephilini"	"Trichoptera"	"sample"	"Limnephilini"	"MZB"	43.31	8.78	1.53	-28.96
"484"	"MZB-TI2F-277-Auricollis"	"TI2F277"	"TI2"	"South"	"no-leaf"	"forested"	-26.54	1.62427999610871	"Y"	"Auricollis"	"Trichoptera"	"sample"	"Auricollis"	"MZB"	43.69	10.04	-3.37	-27.63
